Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
34500,573947,605077,55771,95116,121316,40368,60912,715709996,270599,164938,24227,765333698,122804,875183682,61689,700876056,100904,375588942,22263,328820346,180254494
34750,569715,532640,56336,140665,120175,40136,57907,720095816,289393,161800,24385,770749388,129059,880236403,59418,706078220,102749,377597382,23119,331666812,181956059
35000,569126,492374,56058,97459,126659,41187,53778,724680668,276360,166789,24888,775468884,124782,885598328,59421,710444727,104908,380937338,23619,333915198,182875453
35250,571663,524295,56352,96468,129677,39174,59153,729931103,273233,175040,24943,781140134,128185,890036973,61093,715283526,120894,383639127,23534,336736659,184121411
35500,577976,509107,58058,93564,124260,39571,55916,733743531,290930,164861,27600,785992942,123430,895350712,62806,721164193,122427,385952612,23030,339236684,185690773
35750,629831,525215,56330,96994,118385,41793,57595,739110246,281064,171179,25031,791597795,130196,901470763,65335,726565513,117207,389177603,23771,341813954,186780927
36000,585727,533467,56806,95244,122976,40936,53573,743357574,282960,166169,25197,796833059,123535,908464908,60140,731276079,108456,391422004,21698,345105279,188093610
36250,563418,527989,55823,92591,113637,41564,60336,747788049,325937,175836,24986,802253742,121198,914279803,67677,737182580,98315,394578749,51507,347391665,189544836
36500,579456,533818,57342,97264,207998,41345,59128,752009791,286300,178230,24779,807181783,195654,920337315,62035,742285363,105038,396877353,23917,349878384,190954489
36750,577179,522945,56640,97771,127945,39028,54906,757015255,286663,177578,24809,812768556,130190,926112904,62051,746638920,111053,399803969,24063,352830520,192322821
37000,587034,519639,55632,95495,124080,39691,62124,762158750,276393,212543,24997,818111446,127316,931189502,64483,751848875,102373,402762175,23677,354607010,193144538
37250,738869,517630,57810,97107,124602,40510,53615,765810386,295862,175138,25049,823008881,127105,937248156,59847,756439945,105210,404897942,22093,357841689,194828096
37500,599587,545806,53394,94685,123606,38526,54968,770020501,272710,165982,25298,828309759,124161,941589391,59026,761646015,102596,407838934,23820,360188188,195775482
37750,576037,529246,53276,94454,119891,39243,59099,774353171,282576,166963,24920,834048383,121867,948311353,60820,767859759,113033,410517624,24607,362753297,197498441
38000,575800,592218,54693,97083,128005,40928,56520,777999755,291659,170903,24895,840314321,125318,954749082,62895,772582083,102459,413102683,21557,365133124,198678834
